FilePath,#triples,Property,Aspect,Characteristic,Entity,Constraint,AbstractEntity,AbstractProperty,Collection,Trait,Set,Quantifiable,RangeConstraint,RegularExpressionConstraint,description,exampleValue,see,preferredName,unit,maxValue,minValue,upperBoundDefinition,lowerBoundDefinition,constraint,baseCharacteristic,value
io.catenax.material_flow_simulation_result/2.0.0/MaterialFlowSimulationResultAspect.ttl,334,33,1,3,5,0,0,0,0,0,0,1,0,0,55,23,0,55,3,0,0,0,0,0,0,0
io.catenax.shared.part_classification/1.2.0/PartClassification.ttl,31,2,1,1,1,0,0,0,0,0,0,0,0,0,6,1,0,6,0,0,0,0,0,0,0,0
io.catenax.shared.part_classification/1.1.0/PartClassification.ttl,40,3,1,1,1,0,0,0,0,0,0,0,0,0,7,2,0,7,0,0,0,0,0,0,0,0
io.catenax.shared.message_header/1.0.0/MessageHeaderAspect.ttl,115,9,1,5,1,0,0,0,0,2,0,0,0,2,20,8,1,20,0,0,0,0,0,2,2,0
io.catenax.battery.battery_pass/5.2.0/BatteryPass.ttl,230,18,1,10,10,0,0,0,0,0,0,0,0,0,40,2,2,40,1,0,0,0,0,0,0,0
io.catenax.generic.digital_product_passport/5.1.0/DigitalProductPassport.ttl,722,52,1,15,21,0,0,0,0,5,0,1,2,2,111,30,10,111,1,2,2,2,2,5,5,0
io.catenax.shared.address_characteristic/4.1.0/AddressAspect.ttl,145,10,1,1,5,0,0,0,0,0,0,0,0,0,22,5,0,22,0,0,0,0,0,0,0,0
io.catenax.decomissioning_certificate/2.0.0/DecommissioningCertificate.ttl,53,5,1,2,0,0,0,0,0,0,0,0,0,0,7,5,5,6,0,0,0,0,0,0,0,0
io.catenax.transmission.transmission_pass/3.0.0/TransmissionPass.ttl,410,31,1,8,10,0,0,0,0,2,1,2,0,2,67,20,0,67,8,0,0,0,0,2,2,0
io.catenax.fleet.vehicles/2.1.0/Vehicles.ttl,530,42,1,3,4,0,0,0,0,2,0,0,0,1,62,37,7,62,2,1,1,0,0,2,2,0
io.catenax.quality_task_attachment/1.2.0/QualityTaskAttachment.ttl,39,3,1,0,1,0,0,0,0,0,0,0,0,0,7,2,0,7,1,0,0,0,0,0,0,0
io.catenax.material_flow_scenario_request/1.2.0/MaterialFlowScenarioRequestAspect.ttl,68,5,1,2,2,0,0,0,0,0,0,0,0,0,11,3,0,11,0,0,0,0,0,0,0,0
io.catenax.customs_information/1.2.0/CustomsInformation.ttl,157,7,1,4,3,0,0,0,0,2,1,0,0,1,19,4,1,21,0,0,0,0,0,2,2,0
io.catenax.part_as_specified/3.1.0/PartAsSpecified.ttl,76,7,1,1,2,0,0,0,0,1,1,0,0,1,13,5,0,13,0,0,0,0,0,1,1,0
io.catenax.request_for_quotation/1.2.0/RequestForQuotation.ttl,31,2,1,2,1,0,0,0,0,0,0,0,0,0,6,1,0,6,0,0,0,0,0,0,0,0
io.catenax.customs_information/1.1.0/CustomsInformation.ttl,246,13,1,9,4,0,0,0,0,3,1,0,0,2,33,9,2,36,0,0,0,0,0,3,3,0
io.catenax.fleet.vehicles/3.0.0/Vehicles.ttl,603,48,1,3,5,0,0,0,0,2,0,0,0,1,72,42,7,72,2,1,1,0,0,2,2,0
io.catenax.mandatory_dismantling/4.0.0/MandatoryDismantling.ttl,63,4,1,1,1,0,0,0,0,2,0,0,0,2,9,3,2,9,0,0,0,0,0,2,2,0
io.catenax.part_as_planned/2.1.0/PartAsPlanned.ttl,53,5,1,0,1,0,0,0,0,0,1,0,0,0,8,2,1,8,0,0,0,0,0,0,0,0
io.catenax.secondary_material_content_verifiable/1.1.0/SecondaryMaterialContentVerifiable.ttl,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
io.catenax.classified_load_spectrum/2.0.0/ClassifiedLoadSpectrum.ttl,335,30,1,14,8,0,0,0,0,0,0,0,0,0,63,19,0,32,2,0,0,0,0,0,0,0
io.catenax.market_place_offer/2.0.0/MarketplaceOffer.ttl,466,46,1,13,6,0,0,0,0,0,3,0,0,0,72,29,0,73,1,0,0,0,0,0,0,0
io.catenax.transmission.transmission_pass/2.0.0/TransmissionPass.ttl,398,31,1,8,10,0,0,0,0,2,1,2,0,2,67,20,0,67,8,0,0,0,0,2,2,0
io.catenax.shopfloor_information.get_production_forecast/1.2.0/GetProductionForecast.ttl,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
io.catenax.shared.part_site_information_as_built/1.1.0/PartSiteInformationAsBuilt.ttl,13,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0
io.catenax.planned_production_output/2.2.0/PlannedProductionOutput.ttl,41,3,1,0,2,0,0,0,0,0,2,0,0,0,8,1,0,8,0,0,0,0,0,0,0,0
io.catenax.packing_list/1.2.0/PackingList.ttl,22,1,1,1,1,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
io.catenax.parts_analyses/3.2.0/PartsAnalyses.ttl,29,2,1,1,1,0,0,0,0,0,0,0,0,0,5,1,0,5,0,0,0,0,0,0,0,0
io.catenax.generic.digital_product_passport/4.2.0/DigitalProductPassport.ttl,165,10,1,6,7,0,0,0,0,1,0,0,0,1,28,3,4,28,0,0,0,0,0,1,1,0
io.catenax.shared.message_header/1.2.0/MessageHeaderAspect.ttl,47,4,1,2,1,0,0,0,0,0,0,0,0,0,8,3,0,8,0,0,0,0,0,0,0,0
io.catenax.material_recycling_certificate/1.2.0/MaterialRecyclingCertificate.ttl,12,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
io.catenax.generic.digital_product_passport/3.1.0/DigitalProductPassport.ttl,720,53,1,13,19,0,0,0,0,3,0,3,0,2,116,29,14,115,1,1,0,0,0,3,3,0
io.catenax.planned_production_output/1.0.0/PlannedProductionOutput.ttl,147,13,1,5,3,0,0,0,2,0,0,1,0,0,25,9,2,25,0,0,0,0,0,0,0,0
io.catenax.fleet.claim_data/2.0.0/ClaimData.ttl,453,39,1,6,6,0,0,0,0,3,0,0,2,1,62,33,1,62,1,2,2,2,2,3,3,0
io.catenax.fleet.vehicles/3.2.0/Vehicles.ttl,31,2,1,1,1,0,0,0,0,0,0,0,0,0,5,1,0,5,0,0,0,0,0,0,0,0
io.catenax.battery.battery_pass/5.1.0/BatteryPass.ttl,227,23,1,6,7,0,0,0,0,0,0,0,0,0,38,3,2,38,0,0,0,0,0,0,0,0
io.catenax.shopfloor_information.provide_production_tracking/1.0.0/ProvideProductionTracking.ttl,133,10,1,2,3,0,0,0,0,0,0,0,0,0,20,7,0,20,0,0,0,0,0,0,0,0
io.catenax.manufacturing_capability/3.3.0/ManufacturingCapability.ttl,154,10,1,1,7,0,2,0,0,0,7,0,0,0,28,2,1,28,0,0,0,0,0,0,0,0
